Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 23/12/2025 ; 10:00 ; 00594 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00403 ; 00029 ; 00202 ; 00009 ; 00000 ; 00000
00001 ; 23/12/2025 ; 11:00 ; 00749 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00513 ; 00033 ; 00200 ; 00011 ; 00000 ; 00000
00001 ; 23/12/2025 ; 12:00 ; 00846 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00630 ; 00030 ; 00203 ; 00010 ; 00000 ; 00000
00001 ; 23/12/2025 ; 13:00 ; 00891 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00636 ; 00035 ; 00217 ; 00006 ; 00000 ; 00000
00001 ; 23/12/2025 ; 14:00 ; 00820 ; 00041 ; 00000 ; 00000 ; 00000 ; 00000 ; 00653 ; 00026 ; 00212 ; 00011 ; 00000 ; 00000
00001 ; 23/12/2025 ; 15:00 ; 00765 ; 00027 ; 00000 ; 00000 ; 00000 ; 00000 ; 00542 ; 00024 ; 00197 ; 00008 ; 00000 ; 00000
00001 ; 23/12/2025 ; 16:00 ; 00855 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00476 ; 00017 ; 00183 ; 00007 ; 00000 ; 00000
00001 ; 23/12/2025 ; 17:00 ; 00904 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00620 ; 00024 ; 00193 ; 00008 ; 00000 ; 00000
00001 ; 23/12/2025 ; 18:00 ; 01052 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00660 ; 00025 ; 00237 ; 00004 ; 00000 ; 00000
00001 ; 23/12/2025 ; 19:00 ; 00901 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00671 ; 00015 ; 00221 ; 00009 ; 00000 ; 00000
00001 ; 23/12/2025 ; 20:00 ; 00692 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00474 ; 00016 ; 00120 ; 00003 ; 00000 ; 00000
00001 ; 23/12/2025 ; 21:00 ; 00462 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00329 ; 00012 ; 00103 ; 00006 ; 00000 ; 00000
00001 ; 23/12/2025 ; 22:00 ; 00315 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00247 ; 00011 ; 00067 ; 00003 ; 00000 ; 00000
00001 ; 23/12/2025 ; 23:00 ; 00182 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00135 ; 00008 ; 00036 ; 00002 ; 00000 ; 00000
00001 ; 23/12/2025 ; 24:00 ; 00112 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00064 ; 00003 ; 00027 ; 00001 ; 00000 ; 00000
00001 ; 24/12/2025 ; 01:00 ; 00042 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00038 ; 00001 ; 00011 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 02:00 ; 00028 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00015 ; 00000 ; 00008 ; 00001 ; 00000 ; 00000
00001 ; 24/12/2025 ; 03:00 ; 00018 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 04:00 ; 00014 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00001 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 05:00 ; 00020 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00000 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 06:00 ; 00054 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00039 ; 00001 ; 00022 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 07:00 ; 00104 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00058 ; 00013 ; 00044 ; 00003 ; 00000 ; 00000
00001 ; 24/12/2025 ; 08:00 ; 00219 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00199 ; 00014 ; 00150 ; 00009 ; 00000 ; 00000
00001 ; 24/12/2025 ; 09:00 ; 00317 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00260 ; 00025 ; 00142 ; 00003 ; 00000 ; 00000
00001 ; 24/12/2025 ; 10:00 ; 00528 ; 00035 ; 00000 ; 00000 ; 00000 ; 00000 ; 00294 ; 00028 ; 00153 ; 00007 ; 00000 ; 00000
00001 ; 24/12/2025 ; 11:00 ; 00707 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00485 ; 00017 ; 00177 ; 00007 ; 00000 ; 00000
00001 ; 24/12/2025 ; 12:00 ; 00793 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00592 ; 00014 ; 00200 ; 00007 ; 00000 ; 00000
00001 ; 24/12/2025 ; 13:00 ; 00821 ; 00026 ; 00000 ; 00000 ; 00000 ; 00000 ; 00662 ; 00015 ; 00213 ; 00007 ; 00000 ; 00000
00001 ; 24/12/2025 ; 14:00 ; 00764 ; 00019 ; 00000 ; 00000 ; 00000 ; 00000 ; 00550 ; 00020 ; 00185 ; 00008 ; 00000 ; 00000
00001 ; 24/12/2025 ; 15:00 ; 00612 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00434 ; 00013 ; 00152 ; 00003 ; 00000 ; 00000
00001 ; 24/12/2025 ; 16:00 ; 00456 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00263 ; 00016 ; 00098 ; 00004 ; 00000 ; 00000
00001 ; 24/12/2025 ; 17:00 ; 00457 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00274 ; 00011 ; 00085 ; 00004 ; 00000 ; 00000
00001 ; 24/12/2025 ; 18:00 ; 00421 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00289 ; 00007 ; 00115 ; 00006 ; 00000 ; 00000
00001 ; 24/12/2025 ; 19:00 ; 00374 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00263 ; 00010 ; 00100 ; 00004 ; 00000 ; 00000
